index,score_scale,score_binary,full_text
1,-1.0,"[[1, -5]]","RT @monicabergamo: A Lava Jato, que fez e aconteceu e alterou os rumos da história do Brasil, também abrigava corruptos.
https://t.co/KQI3e…"
2,-1.0,"[[1, -5]]","RT @MidiaNINJA: O bar Al Janiah, que emprega cerca de 35 refugiados, foi violentamente atacado por fascistas com bombas e gás de pimenta on…"
3,-1.0,"[[1, -5]]","@NPTO “A maneira de parar a Lava Jato era fazê-la de otária. Nada de confrontá-la abertamente ou de tentar desmontá-la em silêncio: o negócio era se eleger contra os corruptos, e, enquanto isso, aparelhar os tribunais, a polícia, a Receita, o Coaf...”
https://t.co/DfAD8XIQDg"
4,-1.0,"[[1, -5]]","RT @ggreenwald: Todo mundo sabe que @FlavioBolsonaro é corrupto, roubou dinheiro público para seu próprio enriquecimento, tudo feito por um…"
5,-1.0,"[[1, -5]]","RT @ggreenwald: Ninguém mais precisa argumentar se a conduta de @SF_Moro como um juiz era antiética, corrupto e imprópria. Os próprios prom…"
6,-1.0,"[[1, -5]]","Não é comparável a Breaking Bad, como dizem, mas é obrigatório. Há coisas piores do que o Bozo. Chernobyl (2019–2019)
#IMDb https://t.co/XngHuPK4kr"
7,-1.0,"[[1, -5]]","RT @andrefran: Eu sinto uma vergonha e uma tristeza profundas. Professores mal pagos, falta de material escolar, colégios sem merenda pra o…"
8,-1.0,"[[1, -5]]","A administração pública avançou muito no nosso governo. O fortalecimento das instituições desbaratou uma quadrilha. Infelizmente, porém, temos corruptos confessos que fizeram delações gozando de seus patrimônios. #HaddadNoJN"
9,-1.0,"[[1, -5]]",Estamos prendendo o “aviãozinho” ao invés de prender o homicida e o estuprador. #HaddadnoCatraca
10,-1.0,"[[1, -5]]",Entrevista que dei ao Fernando Grostein Andrade. https://t.co/Ka2kNV7DRl
11,-1.0,"[[1, -5]]","Minha solidariedade à comunidade LGBT e aos funcionários do Centro de Cidadania LGBT, criado na nossa gestão, contra a atitude fascista dos que o vandalizaram e depredaram.
https://t.co/47V1jarvwP"
12,-1.0,"[[1, -5]]","DISTORÇÃO PREMIADA
Falta de regras nas delações da Lava Jato beneficia corruptos.
https://t.co/kWvayX9mOu"
13,-0.75,"[[1, -4]]",RT @JamilChade: A agonia de uma democracia / Passei uma semana percorrendo um país que mergulha numa destruição profunda do estado de direi…
